Codigo,Nombre,Categoria,Estado,Departamento,Municipio,Altitud,Fecha_instalacion,Fecha_suspension,Corriente,Latitude,Longitud
26220020,ITUANGO  [26220020],Pluviométrica,Suspendida,Antioquia,Ituango,1575,15/01/1922,15/12/1966,Frio,7.06666667,-75.75
26230170,BRICENO  [26230170],Pluviométrica,Suspendida,Antioquia,Briceño (Antioquia),1350,15/05/1982,15/11/1985,Qda Iglesia,7.11666667,-75.55
26250050,VALDIVIA  [26250050],Pluviométrica,Suspendida,Antioquia,Valdivia,1100,15/10/1959,15/12/1969,Qda Navas,7.16666667,-75.43333333
27020020,CARMIN EL  [27020020],Pluviométrica,Suspendida,Antioquia,Anorí,880,15/06/1982,15/03/1989,Surata,7.18333333,-75.23333333
23190070,BOCAS  [23190070],Pluviométrica,Suspendida,Santander,Rionegro (Santander),600,15/04/1957,15/09/1971,Qda San Antonio,7.21666667,-73.16666667
23197120,PLAYA LA  [23197120],Limnimétrica,Suspendida,Santander,Charta,2500,15/10/1967,15/06/1969,Charta,7.28333333,-72.98333333
23180010,PTO WILCHES  [23180010],Pluviométrica,Suspendida,Santander,Puerto Wilches,97,15/03/1934,15/05/1936,Porce,7.33333333,-73.91666667
27027230,CHARCON LIBER PRN5  [27027230],Limnigráfica,Suspendida,Antioquia,Anorí,100,15/06/1985,15/01/1988,Nechi,7.4,-74.88333333
23187090,ESTABLO EL  [23187090],Limnimétrica,Suspendida,Santander,Puerto Wilches,100,15/12/1971,15/01/1972,Canal Principal,7.53333333,-73.45
16010200,BLONAY  [16010200],Pluviométrica,Suspendida,Norte de Santander,Cúcuta,1235,15/01/1964,15/04/1968,Pamplonita,7.58333333,-72.61666667
25010020,JUAN JOSE  [25010020],Pluviométrica,Suspendida,Córdoba,Montelíbano,130,15/11/1965,15/12/1967,Honda,7.73333333,-75.85
16010320,CUCUTA  [16010320],Pluviométrica,Suspendida,Norte de Santander,Cúcuta,250,15/09/1930,15/12/1940,Pamplonita,7.9,-72.5
16020450,POTRO EL  [16020450],Pluviométrica,Suspendida,Norte de Santander,Cúcuta,320,15/01/1961,15/06/1973,Pamplonita,8.08333333,-72.56666667
23210050,TARAPACA  [23210050],Pluviométrica,Suspendida,Cesar,Aguachica,70,15/01/1965,15/08/1966,Cga. San Lorenzo,8.18333333,-73.68333333
23210040,LUCHA LA HDA  [23210040],Pluviométrica,Suspendida,Cesar,Aguachica,80,15/01/1964,15/11/1966,Tejo,8.2,-73.66666667
